keyword,zero_16_20,y2025_all_langs,is_g1,B_en,y2025_en,multiple_en,B_de,y2025_de,multiple_de,B_fr,y2025_fr,multiple_fr,B_it,y2025_it,multiple_it
AI Adoption,False,59,False,48.0,58,1.21,0.0,1,,0.0,0,,0.0,0,
AI Agent,False,134,False,0.4,131,327.5,0.0,0,,0.0,3,,0.0,0,
AI Alignment,True,0,False,0.0,0,,0.0,0,,0.0,0,,0.0,0,
AI Ethics,False,24,False,1.6,14,8.75,0.0,6,,0.0,4,,0.0,0,
AI Strategy,False,94,False,4.7,82,17.45,0.0,12,,0.0,0,,0.0,0,
AI-Driven Automation,True,61,True,0.0,60,,0.0,0,,0.0,1,,0.0,0,
AI-Powered,False,546,False,144.5,544,3.76,0.0,0,,0.0,2,,0.0,0,
Amazon SageMaker,False,6,False,3.6,6,1.67,0.0,0,,0.0,0,,0.0,0,
Anthropic Claude API,True,0,False,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Artificial General Intelligence,False,1,False,0.2,1,5.0,0.0,0,,0.0,0,,0.0,0,
Artificial Intelligence,False,2144,False,1263.6,1239,0.98,313.2,739,2.36,17.0,137,8.06,9.5,29,3.05
Augmented Intelligence,False,11,False,2.0,7,3.5,0.0,0,,0.0,4,,0.0,0,
AutoGPT,True,2,True,0.0,2,,0.0,0,,0.0,0,,0.0,0,
Autoencoder,False,14,False,7.2,14,1.94,0.0,0,,0.0,0,,0.0,0,
Azure OpenAI,True,28,True,0.0,28,,0.0,0,,0.0,0,,0.0,0,
Azure OpenAI Service,True,6,True,0.0,6,,0.0,0,,0.0,0,,0.0,0,
BLOOM,False,60,False,17.4,60,3.45,0.0,0,,0.0,0,,0.0,0,
Bard,False,22,False,75.3,22,0.29,0.0,0,,0.0,0,,0.0,0,
Chain-of-Thought,True,2,True,0.0,2,,0.0,0,,0.0,0,,0.0,0,
ChatGPT,True,341,True,0.0,341,,0.0,0,,0.0,0,,0.0,0,
ChatGPT Plugins,True,0,False,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Chatbot,False,218,False,153.9,218,1.42,0.0,0,,0.0,0,,0.0,0,
Claude,False,603,False,384.1,603,1.57,0.0,0,,0.0,0,,0.0,0,
Cohere,True,5,True,0.0,5,,0.0,0,,0.0,0,,0.0,0,
Content Generation,False,30,False,26.5,17,0.64,2.8,12,4.29,1.6,1,0.62,0.0,0,
Conversational AI,False,111,False,38.8,111,2.86,0.0,0,,0.0,0,,0.0,0,
Creative AI,True,1,True,0.0,1,,0.0,0,,0.0,0,,0.0,0,
DALL-E,False,8,False,0.2,8,40.0,0.0,0,,0.0,0,,0.0,0,
Deep Learning,False,635,False,591.6,629,1.06,0.0,0,,0.0,5,,0.0,1,
Deepfake,False,3,False,1.6,3,1.88,0.0,0,,0.0,0,,0.0,0,
Diffusion Model,True,39,True,0.0,37,,0.0,0,,0.0,1,,0.0,1,
Digital Transformation,False,4390,False,2529.5,1810,0.72,1347.6,1903,1.41,129.9,522,4.02,54.1,155,2.87
DreamBooth,True,0,False,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Embeddings,False,995,False,11.4,49,4.3,501.0,946,1.89,0.0,0,,0.2,0,0.0
Explainable AI,False,20,False,2.4,20,8.33,0.0,0,,0.0,0,,0.0,0,
FAISS,True,28,True,0.0,28,,0.0,0,,0.0,0,,0.0,0,
Falcon,False,34,False,36.0,34,0.94,0.0,0,,0.0,0,,0.0,0,
Few-Shot Learning,True,6,True,0.0,6,,0.0,0,,0.0,0,,0.0,0,
Fine-Tuning,False,171,False,43.7,171,3.91,0.0,0,,0.0,0,,0.0,0,
Foundation Model,False,116,False,0.0,116,,0.0,0,,2.0,0,0.0,0.0,0,
GPT,False,163,False,80.9,163,2.01,0.0,0,,0.0,0,,0.0,0,
GPT-3,False,0,False,1.6,0,0.0,0.0,0,,0.0,0,,0.0,0,
GPT-4,True,4,True,0.0,4,,0.0,0,,0.0,0,,0.0,0,
Gemini,False,49,False,40.2,49,1.22,0.0,0,,0.0,0,,0.0,0,
Gen AI,False,141,False,1.6,122,76.25,0.0,0,,0.0,18,,0.0,1,
Generative AI,True,616,True,0.0,579,,0.0,18,,0.0,18,,0.0,1,
Generative Design,False,26,False,11.2,26,2.32,0.0,0,,0.0,0,,0.0,0,
Generative Model,False,34,False,69.1,33,0.48,0.0,0,,0.0,1,,0.0,0,
Generative adversarial networks,False,4,False,4.8,4,0.83,0.0,0,,0.0,0,,0.0,0,
Generative artificial intelligence,True,24,True,0.0,17,,0.0,5,,0.0,1,,0.0,1,
GitHub Copilot,True,66,True,0.0,66,,0.0,0,,0.0,0,,0.0,0,
Google Gemini,True,5,True,0.0,5,,0.0,0,,0.0,0,,0.0,0,
Google Vertex AI,True,5,True,0.0,5,,0.0,0,,0.0,0,,0.0,0,
Google Vertex AI Generative,True,0,False,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Hugging Face,False,89,False,4.8,89,18.54,0.0,0,,0.0,0,,0.0,0,
HuggingFace Transformers,True,4,True,0.0,4,,0.0,0,,0.0,0,,0.0,0,
Human-in-the-Loop,False,20,False,3.2,20,6.25,0.0,0,,0.0,0,,0.0,0,
Hyperautomation,True,17,True,0.0,17,,0.0,0,,0.0,0,,0.0,0,
Image Generation,False,5,False,0.4,5,12.5,0.0,0,,0.0,0,,0.0,0,
Intelligent Automation,False,73,False,79.4,62,0.78,17.2,7,0.41,0.0,3,,0.0,1,
Jasper,False,27,False,36.7,27,0.74,0.0,0,,0.0,0,,0.0,0,
Keras,False,65,False,178.8,65,0.36,0.0,0,,0.0,0,,0.0,0,
LLM,True,334,True,0.0,328,,0.0,1,,0.0,1,,0.0,4,
LLMOps,True,42,True,0.0,42,,0.0,0,,0.0,0,,0.0,0,
LLaMA,False,39,False,3.6,39,10.83,0.0,0,,0.0,0,,0.0,0,
LangChain,True,137,True,0.0,137,,0.0,0,,0.0,0,,0.0,0,
Large language model,True,346,True,0.0,344,,0.0,1,,0.0,1,,0.0,0,
Large language modeling,True,0,False,0.0,0,,0.0,0,,0.0,0,,0.0,0,
LlamaIndex,True,28,True,0.0,28,,0.0,0,,0.0,0,,0.0,0,
LoRA,False,281,False,179.7,281,1.56,0.0,0,,0.0,0,,0.0,0,
